symbol,returnOnEquity,returnOnInvestment,beta,Cluster,Sector,Industry
REGN,30.59637,24.35176,0.31575,1,Health Care,Major Pharmaceuticals
RDWR,3.67726,3.01557,0.96966,2,Miscellaneous,Business Services
RADA,5.11492,4.73646,1.10494,2,Technology,Electronic Components
RELX,59.47712,13.02078,0.70127,1,Consumer Services,Publishing
RJF,11.93136,8.05356,1.34265,0,Finance,Investment Bankers/Brokers/Service
RILY,14.0295,4.14506,1.23253,2,Miscellaneous,Business Services
RM,9.86241,2.81125,1.46564,0,Finance,Finance: Consumer Services
ROCK,12.46615,11.09306,1.24152,2,Capital Goods,Steel/Iron Ore
RGLD,7.187,6.19339,0.69374,2,Basic Industries,Precious Metals
RMD,28.35205,17.81215,0.31575,1,Health Care,Medical/Dental Instruments
RFIL,1.73621,1.65211,1.04029,2,Capital Goods,Electrical Products
RMR,9.77842,19.14472,1.41548,1,Consumer Services,Professional Services
RMAX,2.49051,2.75873,1.51914,0,Finance,Real Estate
ROG,0.63366,0.5216,1.83472,0,Basic Industries,Major Chemicals
RGEN,4.03984,3.17017,0.95361,2,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RGP,8.56676,6.0399,1.04658,2,Miscellaneous,Business Services
RGR,25.78192,25.58192,0.30552,1,Capital Goods,Ordnance And Accessories
RHI,28.16321,22.83067,1.67116,1,Technology,Professional Services
RIO,18.26651,10.56573,0.74673,2,Basic Industries,Precious Metals
RSG,12.49312,5.08535,0.65467,2,Public Utilities,Environmental Services
RP,3.90264,2.55398,1.14712,2,Technology,Computer Software: Prepackaged Software
RS,8.01131,5.54491,1.02269,2,Basic Industries,Metal Fabrications
SAMG,15.85404,19.75676,0.89737,1,Finance,Investment Managers
ROLL,9.71227,8.87784,1.42052,0,Capital Goods,Metal Fabrications
ROST,9.64244,3.9974,0.9202,2,Consumer Services,Clothing/Shoe/Accessory Stores
SANM,8.53864,6.24757,1.16341,2,Technology,Electrical Products
ROL,28.52657,18.44227,0.43803,1,Finance,Diversified Commercial Services
ROP,16.7092,8.31777,1.03876,2,Capital Goods,Industrial Machinery/Components
SAM,17.90988,15.30551,0.77288,1,Consumer Non-Durables,Beverages (Production/Distribution)
SAIA,13.97246,9.68511,1.22892,2,Transportation,Trucking Freight/Courier Services
RUSHB,8.25741,5.12712,1.35248,0,Consumer Durables,Automotive Aftermarket
RUSHA,8.25741,5.12712,1.35248,0,Consumer Durables,Automotive Aftermarket
SAP,16.36759,10.94201,1.01619,2,Technology,Computer Software: Prepackaged Software
RXN,11.43615,5.27473,1.45566,0,Technology,Industrial Machinery/Components
RPM,26.91764,8.7248,1.01759,1,Basic Industries,Paints/Coatings
SAIC,14.48127,5.13076,1.01786,2,Technology,EDP Services
SCS,14.78256,7.77547,1.59705,0,Consumer Durables,Office Equipment/Supplies/Services
SCVL,3.985,2.37016,1.40078,0,Consumer Services,Clothing/Shoe/Accessory Stores
SBLK,0.35381,0.1833,1.43477,0,Transportation,Marine Transportation
SEM,23.02209,5.31086,1.44805,0,Health Care,Hospital/Nursing Management
SC,8.60951,1.13273,1.17743,2,Finance,Finance: Consumer Services
SF,12.59879,2.06935,1.58607,0,Finance,Investment Bankers/Brokers/Service
SFM,36.65371,10.98206,0.27113,1,Consumer Services,Food Chains
SENEA,19.89755,11.66038,0.75018,2,Consumer Non-Durables,Packaged Foods
SENEB,19.89755,11.66038,0.75018,2,Consumer Non-Durables,Packaged Foods
SEDG,19.7499,12.01382,0.86155,2,Technology,Semiconductors
SCHW,12.52101,8.87738,1.15548,2,Finance,Investment Bankers/Brokers/Service
SCCO,18.5817,8.55044,1.1502,2,Basic Industries,Precious Metals
SEIC,26.14972,24.5283,1.18743,1,Finance,Investment Bankers/Brokers/Service
SBS,5.51183,2.81895,0.94879,2,Public Utilities,Water Supply
SCI,26.26162,3.5668,0.71067,2,Consumer Services,Other Consumer Services
SCL,13.21779,9.57659,0.75295,2,Basic Industries,Package Goods/Cosmetics
SKY,10.94034,9.00137,2.64844,0,Basic Industries,Homebuilding
SKX,4.38349,3.89235,1.24372,0,Consumer Non-Durables,Shoe Manufacturing
SHYF,21.95137,14.04854,1.63231,1,Capital Goods,Auto Manufacturing
SLAB,1.18005,0.80666,1.075,2,Technology,Semiconductors
SLGN,25.91825,6.54169,0.71613,2,Consumer Durables,Containers/Packaging
SKYW,5.13614,1.91528,2.14121,0,Transportation,Air Freight/Delivery Services
SIMO,18.08437,17.21454,1.01443,1,Technology,Semiconductors
SITE,19.33041,8.57448,1.21134,2,Consumer Non-Durables,Farming/Seeds/Milling
SILC,4.55528,4.4103,0.83546,2,Technology,Computer Communications Equipment
SGC,18.51347,11.38079,0.80477,2,Consumer Non-Durables,Apparel
SGU,14.447,10.61497,0.36613,2,Consumer Services,Other Specialty Stores
SHLX,21.69544,26.84024,1.63163,1,Energy,Natural Gas Distribution
SIGA,29.35498,20.028,0.63421,1,Health Care,Major Pharmaceuticals
SHEN,2.84111,1.16937,0.36261,2,Public Utilities,Telecommunications Equipment
SHW,45.49175,11.5379,1.03863,1,Consumer Services,RETAIL: Building Materials
SID,16.04073,3.81287,1.91015,0,Capital Goods,Steel/Iron Ore
SGRP,12.0569,25.93239,1.28152,1,Miscellaneous,Business Services
SHOP,4.38636,3.91989,1.62489,0,Technology,Computer Software: Prepackaged Software
SJI,8.39007,2.46931,0.86974,2,Public Utilities,Oil/Gas Transmission
SJM,10.56212,6.13905,0.26142,2,Consumer Non-Durables,Packaged Foods
SJR,11.19798,4.96287,0.62636,2,Consumer Services,Television Services
SGEN,23.40011,22.16226,1.09345,1,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SJW,4.73243,1.77229,0.30431,2,Public Utilities,Water Supply
SKM,4.64834,2.89904,0.91417,2,Public Utilities,Telecommunications Equipment
SNDR,8.4107,5.89526,1.05412,2,Transportation,Trucking Freight/Courier Services
SMSI,14.16925,12.59853,0.90511,2,Technology,Computer Software: Prepackaged Software
SMG,54.49537,16.02701,1.12805,1,Basic Industries,Agricultural Chemicals
SMP,13.55457,11.37339,0.52969,2,Capital Goods,Auto Parts:O.E.M.
SNA,17.00757,12.51017,1.29503,2,Capital Goods,Industrial Machinery/Components
SND,15.95141,12.01149,2.11806,0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
SNE,20.93294,5.98246,0.94363,2,Consumer Non-Durables,Consumer Electronics/Appliances
SNN,7.88943,5.04679,0.6705,2,Health Care,Industrial Specialties
SNP,5.18877,4.54901,1.02484,2,Energy,Integrated oil Companies
SNX,12.59681,6.76873,1.61264,0,Technology,Retail: Computer Software & Peripheral Equipment
SO,11.36877,3.00415,0.37306,2,Public Utilities,Electric Utilities: Central
SMCI,8.27328,6.99652,1.26347,2,Technology,Computer Manufacturing
SNEX,18.54999,5.70078,1.26723,2,Finance,Investment Bankers/Brokers/Service
SMTC,5.70154,4.08505,1.66719,0,Technology,Semiconductors
SON,14.22121,6.55455,0.83735,2,Consumer Durables,Containers/Packaging
SMTX,9.40432,4.49144,1.56171,0,Technology,Electrical Products
SNPS,14.71573,12.4049,1.09729,2,Technology,Computer Software: Prepackaged Software
SMID,12.69686,8.18288,0.76765,2,Capital Goods,Building Materials
SMPL,3.35198,2.28999,0.88187,2,Consumer Non-Durables,Packaged Foods
SRLP,42.30134,6.86363,0.95815,1,Energy,Oil Refining/Marketing
SRDX,0.88575,0.77575,0.98035,2,Health Care,Medical/Dental Instruments
SPXC,20.66258,6.23135,1.40595,0,Technology,Industrial Machinery/Components
SSNC,11.1707,4.10225,1.56695,0,Technology,Computer Software: Prepackaged Software
SPSC,11.1561,10.53869,0.89848,2,Technology,Computer Software: Prepackaged Software
SPKE,28.273,22.57789,0.65265,1,Public Utilities,Power Generation
SQ,18.72144,9.33408,2.7102,0,Technology,Computer Software: Prepackaged Software
SR,3.21743,1.36986,0.19631,2,Public Utilities,Oil/Gas Transmission
ST,3.42468,1.34777,1.55321,0,Capital Goods,Industrial Machinery/Components
STAA,5.34057,4.93113,1.1175,2,Health Care,Ophthalmic Goods
SPRT,1.35953,1.33288,0.48406,2,Technology,EDP Services
SPH,15.4559,3.38961,0.71435,2,Consumer Services,Other Specialty Stores
SQM,7.94182,4.38217,0.92768,2,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
SPTN,9.56704,4.13627,0.85894,2,Consumer Non-Durables,Food Distributors
SSRM,2.88462,2.12841,0.94461,2,Basic Industries,Precious Metals
SPNS,13.75351,8.52091,1.36977,0,Technology,Computer Software: Prepackaged Software
SRE,10.29553,2.40205,0.63205,2,Public Utilities,Natural Gas Distribution
SPWH,44.50925,15.4223,0.97891,1,Consumer Services,Other Specialty Stores
SSD,20.17895,18.47589,1.26142,1,Capital Goods,Industrial Machinery/Components
SSP,5.5039,1.54252,1.93724,0,Consumer Services,Broadcasting
SSTK,14.22236,12.36782,1.08712,2,Technology,EDP Services
SSTI,9.4132,9.12668,1.506,0,Technology,Computer Software: Prepackaged Software
STE,12.28346,8.62092,1.05946,2,Health Care,Industrial Specialties
STN,9.47352,5.18614,0.96758,2,Consumer Services,Military/Government/Technical
STM,12.74661,9.14291,1.57642,0,Technology,Semiconductors
STX,57.19855,16.55517,1.23415,1,Technology,Electronic Components
STZ,9.47736,4.5643,1.10413,2,Consumer Non-Durables,Beverages (Production/Distribution)
SUM,9.47665,3.7129,1.38215,0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
SUN,19.18397,4.63034,1.82815,0,Energy,Integrated oil Companies
SWI,17.40566,16.21383,1.24751,1,Technology,Computer Software: Prepackaged Software
SWK,11.61414,5.56052,1.48252,0,Capital Goods,Industrial Machinery/Components
SYKE,6.39235,4.97694,0.89625,2,Technology,EDP Services
SWM,14.44361,6.01388,1.07792,2,Basic Industries,Paper
SWX,8.74481,3.12458,0.12121,2,Public Utilities,Oil & Gas Production
STRA,6.91414,6.26623,0.56232,2,Consumer Services,Other Consumer Services
STRL,26.82361,12.2449,1.37007,1,Basic Industries,Military/Government/Technical
SXC,1.46073,0.75895,1.20824,0,Basic Industries,Steel/Iron Ore
SXI,8.59157,4.96783,1.37587,0,Technology,Industrial Machinery/Components
SYNH,6.437,3.25367,1.84831,0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
SXT,7.50963,4.36108,0.96897,2,Basic Industries,Major Chemicals
SUMR,19.54919,2.84704,1.74322,0,Consumer Durables,Miscellaneous manufacturing industries
SYK,13.88087,6.97725,0.8856,2,Health Care,Medical/Dental Instruments
STKS,55.50297,8.05853,2.41999,1,Consumer Services,Restaurants
SYNA,14.99833,8.46262,1.14398,2,Technology,Semiconductors
STLD,11.732,6.91368,1.40554,0,Basic Industries,Steel/Iron Ore
SUPN,20.42608,11.93122,1.379,1,Health Care,Major Pharmaceuticals
SYPR,13.86035,5.61089,1.68806,0,Capital Goods,Industrial Machinery/Components
STMP,19.92638,17.74959,0.37871,1,Miscellaneous,Business Services
SWKH,4.03299,3.75819,0.16416,2,Finance,Diversified Financial Services
SWKS,19.67055,17.86517,1.22042,1,Technology,Semiconductors
STNG,8.88694,3.83878,1.17265,2,Transportation,Marine Transportation
TER,41.01567,28.68912,1.35031,1,Capital Goods,Electrical Products
TEX,1.46597,0.56343,1.56555,0,Capital Goods,Construction/Ag Equipment/Trucks
TAYD,7.45474,7.45474,0.95915,2,Capital Goods,Industrial Machinery/Components
T,6.11263,2.66946,0.67309,2,Public Utilities,Telecommunications Equipment
TA,5.76995,1.25827,2.06904,0,Consumer Durables,Automotive Aftermarket
TAIT,3.88477,3.86047,1.33181,0,Technology,Electronic Components
TAP,4.38236,2.44003,1.15109,2,Consumer Non-Durables,Beverages (Production/Distribution)
TECH,18.98872,13.12192,1.12696,1,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SYX,35.38922,24.57891,0.49663,1,Capital Goods,Industrial Machinery/Components
TCP,42.15385,12.04106,0.96746,1,Public Utilities,Natural Gas Distribution
TCS,6.73298,2.05103,1.63494,0,Consumer Services,Home Furnishings
TCX,16.3059,5.72747,0.75077,2,Technology,EDP Services
TDC,29.49438,8.64553,1.2036,1,Technology,Computer Software: Prepackaged Software
TDS,4.71958,2.79379,1.20498,0,Public Utilities,Telecommunications Equipment
TDY,13.77524,9.87209,1.08782,2,Capital Goods,Industrial Machinery/Components
TEF,1.34828,0.95613,0.88489,2,Public Utilities,Telecommunications Equipment
TEO,2.11481,1.44237,0.54341,2,Public Utilities,Telecommunications Equipment
TNAV,6.45921,2.39245,0.43814,2,Capital Goods,Industrial Machinery/Components
TNC,11.52691,5.31574,1.19362,2,Technology,Industrial Machinery/Components
TNK,21.52712,12.32126,0.34562,2,Consumer Services,Marine Transportation
TMHC,6.90488,3.62309,1.82933,0,Capital Goods,Homebuilding
TNP,1.75762,2.2201,0.63493,2,Transportation,Marine Transportation
TGLS,9.88322,3.85778,1.64163,0,Consumer Durables,Electronic Components
TFX,12.05437,6.18644,1.12798,2,Health Care,Medical/Dental Instruments
TOL,9.35333,5.19512,1.67701,0,Capital Goods,Homebuilding
TGH,4.66613,1.21234,1.60091,0,Technology,Diversified Commercial Services
TGP,5.51162,2.87621,1.44058,0,Consumer Services,Marine Transportation
TGT,30.7352,13.07733,0.98037,1,Consumer Services,Department/Specialty Retail Stores
TGNA,19.41623,4.93163,1.27166,2,Consumer Services,Broadcasting
TGS,22.17376,12.06845,0.42515,2,Public Utilities,Natural Gas Distribution
THO,10.1255,5.25122,2.44092,0,Consumer Non-Durables,Homebuilding
TIF,8.98845,5.23051,0.7623,2,Consumer Services,Consumer Specialties
TM,6.96915,4.00679,0.57617,2,Capital Goods,Auto Manufacturing
THRM,7.50496,5.57019,1.48207,0,Capital Goods,Auto Parts:O.E.M.
TNET,54.32999,25.32937,1.55421,1,Miscellaneous,Business Services
TJX,13.49743,4.12512,0.92393,2,Consumer Services,Clothing/Shoe/Accessory Stores
TKC,19.59715,10.23951,0.61093,2,Public Utilities,Telecommunications Equipment
TLYS,0.3294,0.13634,1.96244,0,Consumer Services,Clothing/Shoe/Accessory Stores
TKR,18.28302,9.00099,1.78657,0,Capital Goods,Metal Fabrications
TLK,17.68429,18.16558,0.68611,1,Public Utilities,Telecommunications Equipment
TIMB,7.76942,5.40033,1.03088,2,Public Utilities,Telecommunications Equipment
TMUS,5.9507,2.23313,0.52956,2,Public Utilities,Telecommunications Equipment
TMO,15.94992,8.97551,0.86047,2,Capital Goods,Industrial Machinery/Components
TMX,29.7999,10.96996,0.93246,1,Consumer Services,Other Consumer Services
TTEK,17.15756,11.74004,0.87835,2,Consumer Services,Military/Government/Technical
TSCO,44.97115,17.00581,0.97537,1,Consumer Services,RETAIL: Building Materials
TSLA,4.75737,2.67807,2.15049,0,Capital Goods,Auto Manufacturing
TTEC,24.16685,12.43274,0.78045,1,Technology,Professional Services
TSEM,5.26091,4.28958,1.38236,0,Technology,Semiconductors
TPB,7.55432,1.92347,0.55771,2,Consumer Non-Durables,Tobacco
TTGT,11.5119,8.65911,0.98083,2,Miscellaneous,Business Services
TPH,13.22975,8.02461,1.62193,0,Capital Goods,Homebuilding
TRTN,12.38996,3.01685,1.88789,0,Technology,Diversified Commercial Services
TR,7.71385,6.47397,0.0026,2,Consumer Non-Durables,Specialty Foods
TTWO,18.65771,15.71414,0.60315,1,Technology,Computer Software: Prepackaged Software
TT,14.75563,6.96478,1.03624,2,Capital Goods,Auto Parts:O.E.M.
TRC,2.14211,1.80498,0.66648,2,Finance,Real Estate
TRI,7.61894,7.70161,0.48941,2,Consumer Services,Publishing
TRQ,3.89273,2.65877,2.05773,0,Basic Industries,Precious Metals
TRP,16.20803,5.56596,0.75035,2,Public Utilities,Natural Gas Distribution
TREX,34.68883,30.75523,1.4761,1,Basic Industries,Forest Products
TRU,14.94711,5.27975,1.22068,2,Finance,Finance: Consumer Services
TRNO,5.22472,3.99341,0.56317,2,Finance,Real Estate
TSN,14.4854,7.43752,0.73988,2,Consumer Non-Durables,Meat/Poultry/Fish
TSM,29.11218,26.6692,0.98036,1,Technology,Semiconductors
TRMD,18.91323,12.29368,1.59333,0,Transportation,Marine Transportation
TRMB,15.93339,9.61788,1.49996,0,Capital Goods,Industrial Machinery/Components
TROW,29.72302,28.89027,1.16529,1,Finance,Investment Bankers/Brokers/Service
TTC,31.15993,16.56461,0.74364,1,Capital Goods,Tools/Hardware
TTD,20.66638,15.388,2.63582,0,Technology,"Computer Software: Programming, Data Processing"
TRNS,10.23215,6.75612,0.68535,2,Capital Goods,Electrical Products
UHS,15.46546,8.86027,1.18104,2,Health Care,Hospital/Nursing Management
ULBI,4.30673,4.01053,1.59369,0,Miscellaneous,Industrial Machinery/Components
TXN,57.21548,31.09945,1.07726,1,Technology,Semiconductors
TXT,4.86018,2.34827,1.75869,0,Capital Goods,Aerospace
ULTA,15.62271,6.97936,1.69583,0,Consumer Services,Other Specialty Stores
TYL,10.97309,10.60793,0.67973,2,Technology,Computer Software: Prepackaged Software
UFPI,16.49437,13.71331,1.44581,1,Basic Industries,Forest Products
UFPT,9.12137,8.23702,0.91971,2,Health Care,Medical/Dental Instruments
TU,11.48973,4.09746,0.76254,2,Public Utilities,Telecommunications Equipment
TX,3.70157,2.89764,1.31517,0,Basic Industries,Steel/Iron Ore
UEIC,11.9816,11.10462,1.2842,2,Consumer Non-Durables,Consumer Electronics/Appliances
UE,7.90575,2.99581,1.6791,0,Finance,Real Estate
ULH,19.10312,5.70071,1.61289,0,Transportation,Trucking Freight/Courier Services
UG,35.26361,34.56759,0.01805,1,Consumer Non-Durables,Package Goods/Cosmetics
UL,41.59582,14.2878,0.45666,1,Basic Industries,Package Goods/Cosmetics
TXRH,6.05401,3.58401,0.99873,2,Consumer Services,Restaurants
TWNK,4.18698,2.29443,0.70151,2,Consumer Non-Durables,Packaged Foods
UCTT,9.51774,5.78086,2.01089,0,Technology,Semiconductors
UMC,7.6211,4.16102,0.9327,2,Technology,Semiconductors
UHAL,11.31598,4.30748,0.86162,2,Consumer Services,Rental/Leasing Companies
UGI,13.39123,4.52169,0.95267,2,Public Utilities,Natural Gas Distribution
UGP,2.10154,0.85514,1.33245,0,Public Utilities,Oil/Gas Transmission
VAR,14.28794,11.4338,1.07083,2,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
USPH,12.03747,13.06655,1.42345,0,Health Care,Medical/Nursing Services
UNVR,1.80206,0.60714,1.99033,0,Consumer Durables,Specialty Chemicals
VCEL,0.13704,0.11214,3.06169,0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VALE,8.37855,3.39342,1.19143,2,Basic Industries,Precious Metals
URI,23.83818,5.6848,2.27271,0,Technology,Diversified Commercial Services
UTMD,11.86964,11.26106,0.28649,2,Health Care,Medical/Dental Instruments
V,34.71647,17.30696,0.95986,1,Miscellaneous,Business Services
VEDL,8.45863,7.8132,1.8411,0,Capital Goods,Metal Fabrications
USM,5.63905,3.08022,0.70931,2,Public Utilities,Telecommunications Equipment
VEC,11.5744,7.66672,1.61351,0,Consumer Services,Diversified Commercial Services
VEEV,19.31644,18.81805,0.85442,1,Technology,Computer Software: Prepackaged Software
UTI,1.88714,3.24195,1.19098,0,Consumer Services,Other Consumer Services
UTL,7.99574,2.40867,0.39148,2,Public Utilities,Power Generation
USCR,8.6349,2.72673,1.33586,0,Capital Goods,Building Materials
USLM,10.83527,9.92511,0.66685,2,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
UNF,8.02812,7.05958,1.00723,2,Consumer Services,Other Consumer Services
UTHR,15.62286,12.19995,0.48302,2,Health Care,Major Pharmaceuticals
UVV,4.43684,3.453,0.65118,2,Consumer Services,Farming/Seeds/Milling
UNP,30.50973,9.24104,1.12087,1,Transportation,Railroads
USNA,32.92252,30.87443,0.99522,1,Consumer Durables,Specialty Chemicals
VIAV,4.95246,2.31895,0.80861,2,Technology,Semiconductors
VRA,1.52247,1.11496,1.79125,0,Consumer Non-Durables,Apparel
VIRC,1.43054,0.68675,1.25978,0,Consumer Durables,Industrial Specialties
VIACA,25.4692,8.93064,1.81022,0,Consumer Services,Broadcasting
VNDA,4.60214,4.45639,0.5555,2,Health Care,Major Pharmaceuticals
VIAC,25.4692,8.93064,1.81022,0,Consumer Services,Broadcasting
VICR,2.97629,2.93241,0.83468,2,Capital Goods,Industrial Machinery/Components
VMC,10.71743,5.98953,0.60221,2,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VLGEA,7.44095,4.36545,0.03781,2,Consumer Services,Food Chains
VMI,12.50484,6.50541,1.17862,2,Capital Goods,Metal Fabrications
VMW,22.78516,9.31528,0.88923,2,Technology,Computer Software: Prepackaged Software
VIVO,21.06084,14.05323,0.58365,1,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VOD,4.33255,2.28825,0.94389,2,Public Utilities,Telecommunications Equipment
VOC,13.04955,13.04955,1.89452,0,Energy,Oil & Gas Production
VPG,5.94777,4.55931,1.45691,0,Capital Goods,Electrical Products
VHI,13.00455,3.21314,1.93046,0,Basic Industries,Major Chemicals
VIPS,21.2308,18.84438,0.82547,1,Consumer Services,Catalog/Specialty Distribution
WCN,3.08148,1.654,0.53066,2,Public Utilities,Environmental Services
VRTS,9.31201,2.89995,1.52108,0,Finance,Investment Managers
VRTU,10.00205,4.61608,1.22954,2,Technology,EDP Services
VRS,16.43664,10.37624,2.08825,0,Basic Industries,Paper
VRTV,1.04928,0.33455,2.05085,0,Consumer Services,Paper
WDR,11.75382,10.9811,1.34335,2,Finance,Investment Bankers/Brokers/Service
VSH,5.79549,3.45316,1.40445,0,Capital Goods,Electrical Products
VTOL,4.86782,2.72694,1.40142,0,Transportation,Transportation Services
WEC,11.75317,3.77124,0.11645,2,Public Utilities,Power Generation
VST,11.07416,3.96354,0.91762,2,Public Utilities,Electric Utilities: Central
VRSK,29.8194,12.03542,0.77609,1,Technology,EDP Services
WEN,18.03922,2.2471,0.99166,2,Consumer Services,Restaurants
WEX,2.29203,0.14662,2.0973,0,Miscellaneous,Business Services
VTRS,2.21896,1.05764,1.48921,0,Health Care,Major Pharmaceuticals
VRTX,40.19897,34.89133,0.78553,1,Health Care,Major Pharmaceuticals
WERN,13.98861,8.45195,0.80062,2,Transportation,Trucking Freight/Courier Services
VRNT,1.32776,1.16092,0.87833,2,Technology,EDP Services
WAB,4.68922,2.99845,1.70059,0,Capital Goods,Railroads
VZ,29.53141,7.48457,0.40368,2,Public Utilities,Telecommunications Equipment
VYGR,29.22316,15.30989,1.43433,1,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
WB,21.5749,13.64022,1.29854,1,Technology,"Computer Software: Programming, Data Processing"
WD,18.91449,5.25491,1.30478,0,Finance,Finance: Consumer Services
WBA,2.06573,0.75997,0.51801,2,Health Care,Medical/Nursing Services
VRRM,2.12982,0.55316,1.54312,0,Consumer Services,Transportation Services
WCC,4.35499,1.99403,2.46484,0,Consumer Non-Durables,Telecommunications Equipment
WLK,4.89255,2.87949,1.5059,0,Basic Industries,Major Chemicals
WMB,1.80356,0.04285,1.70201,0,Public Utilities,Natural Gas Distribution
WLTW,10.80286,5.99973,0.79162,2,Finance,Specialty Insurers
WMK,10.84636,8.42925,0.16299,2,Consumer Services,Food Chains
WMS,25.01144,8.59353,1.88829,0,Capital Goods,Containers/Packaging
WMT,25.79305,13.07469,0.43526,1,Consumer Services,Department/Specialty Retail Stores
WNS,17.1479,12.59169,1.44414,0,Miscellaneous,Business Services
WSTG,9.02086,8.78396,0.77214,2,Technology,Retail: Computer Software & Peripheral Equipment
WLFC,4.02796,0.88875,1.22096,0,Consumer Durables,Industrial Specialties
WGO,8.41857,5.29719,2.10593,0,Consumer Non-Durables,Homebuilding
WPM,7.9627,6.97253,0.33368,2,Basic Industries,Precious Metals
WHR,29.37959,9.57997,1.90745,1,Consumer Durables,Consumer Electronics/Appliances
WIRE,7.89987,7.61005,1.07584,2,Capital Goods,Metal Fabrications
WRLD,11.60751,5.18624,1.80225,0,Finance,Finance: Consumer Services
WIT,17.09763,15.94716,0.61496,1,Technology,EDP Services
WM,21.59254,6.53183,0.74341,2,Public Utilities,Environmental Services
WILC,9.97866,9.92358,0.60939,2,Consumer Non-Durables,Food Distributors
WSM,42.45047,19.46637,1.70189,1,Consumer Services,Home Furnishings
WSO,16.27062,17.48388,0.72717,1,Consumer Durables,Industrial Machinery/Components
WST,19.44176,14.84613,1.02631,1,Basic Industries,Specialty Chemicals
WTS,11.88854,8.61586,0.87921,2,Capital Goods,Metal Fabrications
YY,9.1601,8.38327,1.04842,2,Technology,EDP Services
XOM,1.40479,0.80435,1.3317,0,Energy,Integrated oil Companies
YNDX,9.94013,7.53236,1.44271,0,Technology,"Computer Software: Programming, Data Processing"
YRD,7.45627,4.07693,1.33027,0,Finance,Finance: Consumer Services
WVVIP,6.89599,5.01417,0.82194,2,Consumer Non-Durables,Beverages (Production/Distribution)
XPO,3.11345,0.86188,2.25286,0,Consumer Services,Transportation Services
WWE,55.53546,25.66924,1.50015,1,Consumer Services,Movies/Entertainment
WWD,12.92648,7.11218,1.71221,0,Energy,Industrial Machinery/Components
XYL,7.78724,3.39265,1.00661,2,Capital Goods,Fluid Controls
WWW,4.15094,1.80677,1.66403,0,Consumer Non-Durables,Shoe Manufacturing
ZBRA,26.15172,13.77507,1.70652,1,Technology,Industrial Machinery/Components
XLNX,23.76977,13.59913,0.9855,1,Technology,Semiconductors
YUMC,16.08991,11.3841,0.85474,2,Consumer Services,Restaurants
XRX,7.04649,3.27364,1.86184,0,Technology,Computer peripheral equipment
YORW,11.91424,4.45642,0.13576,2,Public Utilities,Water Supply
WTRG,5.64926,2.21023,0.47424,2,Public Utilities,Water Supply
WVVI,6.89599,5.01417,0.82194,2,Consumer Non-Durables,Beverages (Production/Distribution)
XEL,10.97407,3.1248,0.23812,2,Public Utilities,Power Generation
ZUMZ,14.03608,8.55451,1.66195,0,Consumer Services,Clothing/Shoe/Accessory Stores
ZTO,12.6562,12.50511,0.27368,2,Transportation,Trucking Freight/Courier Services
ZTS,52.96178,15.43175,0.67267,1,Health Care,Major Pharmaceuticals
ZYXI,28.91287,26.22321,0.79581,1,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
